timeInstance, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2709882, 0.017090, -0.016113, 0.911133, 2.195122, -1.097561, -0.121951, 33.141762
2711516, 0.019287, -0.017090, 0.913086, 2.256098, -1.036585, -0.426829, 33.188824
2713149, 0.022949, -0.013428, 0.913818, 2.195122, -1.158537, -0.243902, 33.141762
2714782, 0.022949, -0.017334, 0.916016, 2.256098, -0.975610, -0.243902, 33.188824
2716416, 0.027588, -0.016602, 0.913330, 2.256098, -0.975610, -0.182927, 33.047646
2718049, 0.020020, -0.013428, 0.911133, 2.195122, -1.158537, -0.182927, 33.188824
2719683, 0.020020, -0.013428, 0.910400, 2.195122, -1.036585, -0.182927, 33.141762
2721316, 0.019531, -0.016846, 0.912598, 2.195122, -1.158537, -0.182927, 33.094704
2722949, 0.018799, -0.016602, 0.912598, 2.134146, -1.036585, -0.182927, 33.047646
2724583, 0.018555, -0.016357, 0.908447, 2.073171, -1.097561, -0.182927, 33.094704
2726216, 0.018555, -0.015869, 0.915527, 2.256098, -1.036585, 0.000000, 33.094704
2727850, 0.020752, -0.017578, 0.914062, 2.134146, -1.158537, 0.000000, 33.141762
2729483, 0.015869, -0.015625, 0.919434, 2.012195, -1.097561, -0.243902, 33.094704
2731117, 0.022949, -0.016602, 0.911621, 2.195122, -0.975610, -0.182927, 33.141762
2732751, 0.019775, -0.013672, 0.920410, 2.195122, -1.097561, -0.182927, 33.094704
2734384, 0.025391, -0.012939, 0.915283, 2.256098, -1.280488, -0.121951, 33.141762
2736007, 0.020508, -0.021729, 0.916504, 2.012195, -1.158537, -0.121951, 33.094704
2737641, 0.019043, -0.017334, 0.913574, 2.012195, -1.219512, -0.243902, 33.188824
2739274, 0.014404, -0.017578, 0.918213, 2.256098, -1.036585, -0.243902, 33.094704
2740908, 0.022217, -0.017578, 0.922119, 2.195122, -1.036585, -0.304878, 33.047646
2742541, 0.021973, -0.017578, 0.916748, 2.256098, -1.219512, -0.182927, 33.000587
2744174, 0.016602, -0.013184, 0.914551, 2.256098, -1.158537, -0.243902, 33.047646
2745808, 0.018799, -0.013428, 0.914551, 2.195122, -1.036585, -0.304878, 33.094704
2747441, 0.017090, -0.014893, 0.916260, 2.073171, -1.219512, -0.121951, 33.047646
2749075, 0.020508, -0.013916, 0.913330, 2.073171, -1.341463, -0.243902, 33.188824
2750708, 0.025879, -0.019775, 0.914551, 2.195122, -1.219512, -0.243902, 33.141762
2752341, 0.021729, -0.014893, 0.910400, 2.256098, -1.036585, -0.182927, 33.188824
2753975, 0.022949, -0.016113, 0.917969, 2.195122, -1.097561, -0.304878, 33.141762
2755615, 0.019043, -0.013672, 0.910889, 2.134146, -1.097561, 0.121951, 33.094704
2757248, 0.023438, -0.011475, 0.926025, 2.073171, -1.158537, -0.121951, 33.094704
2758882, 0.018311, -0.012451, 0.910400, 2.195122, -1.219512, -0.243902, 33.141762
2760516, 0.015869, -0.014648, 0.909424, 2.317073, -1.219512, -0.060976, 33.094704
2762149, 0.021240, -0.017334, 0.909668, 2.134146, -1.158537, -0.182927, 33.141762
2763782, 0.024170, -0.014648, 0.915039, 2.195122, -0.975610, -0.182927, 33.094704
2765416, 0.017578, -0.014404, 0.914551, 2.378049, -0.792683, -0.243902, 33.141762
2767049, 0.019287, -0.019775, 0.912598, 2.317073, -1.036585, -0.121951, 33.094704
2768683, 0.025635, -0.017334, 0.913330, 2.134146, -1.158537, -0.243902, 33.141762
2770316, 0.016846, -0.013184, 0.916260, 1.951220, -1.158537, -0.243902, 33.000587
2771949, 0.020996, -0.013672, 0.911621, 2.134146, -1.158537, -0.182927, 33.141762
2773583, 0.016602, -0.016113, 0.908936, 2.134146, -0.914634, -0.060976, 33.188824
2775216, 0.014404, -0.016357, 0.909668, 2.134146, -0.914634, -0.243902, 33.047646
2776850, 0.015137, -0.020752, 0.914795, 2.012195, -0.975610, -0.182927, 33.094704
2778483, 0.015869, -0.020264, 0.906738, 2.073171, -0.853659, -0.182927, 33.141762
2780117, 0.019043, -0.016846, 0.912109, 2.256098, -1.158537, -0.243902, 33.094704
2781751, 0.018311, -0.011475, 0.919189, 2.195122, -1.097561, -0.243902, 33.141762
2783384, 0.023926, -0.010498, 0.927246, 2.195122, -0.914634, -0.182927, 33.141762
2785007, 0.016846, -0.014893, 0.916504, 2.134146, -1.036585, -0.060976, 33.094704
2786641, 0.018555, -0.018311, 0.916016, 2.195122, -1.036585, -0.243902, 33.188824
2788274, 0.023193, -0.018799, 0.917480, 2.195122, -1.036585, -0.304878, 33.094704
2789908, 0.020508, -0.015381, 0.913330, 2.134146, -1.158537, -0.121951, 33.141762
2791541, 0.020020, -0.012451, 0.917969, 2.073171, -1.097561, -0.121951, 33.094704
2793174, 0.015869, -0.013916, 0.917236, 2.134146, -1.036585, -0.304878, 33.141762
2794808, 0.017334, -0.011719, 0.910156, 2.195122, -0.853659, -0.304878, 33.188824
2796441, 0.017822, -0.014160, 0.923096, 2.134146, -1.036585, -0.182927, 33.141762
2798075, 0.017578, -0.009277, 0.916504, 2.012195, -1.158537, -0.304878, 33.094704
2799708, 0.019775, -0.015381, 0.912598, 2.073171, -1.158537, -0.243902, 33.141762
2801341, 0.023926, -0.016113, 0.906738, 2.317073, -1.158537, -0.121951, 33.094704
2802975, 0.020264, -0.017822, 0.913818, 2.134146, -1.219512, -0.182927, 33.047646
2804615, 0.023193, -0.014648, 0.910400, 2.195122, -1.036585, -0.182927, 33.188824
2806248, 0.018066, -0.015137, 0.918701, 2.134146, -0.853659, -0.121951, 33.141762
2807882, 0.018311, -0.020752, 0.915283, 2.073171, -1.219512, -0.182927, 33.094704
2809516, 0.018066, -0.015625, 0.911377, 1.951220, -1.280488, -0.182927, 33.141762
