1509, 116229
1515, 116236
1521, 116238
1527, 116233
1533, 116235
1539, 116245
1545, 116236
1551, 116226
1557, 116229
1563, 116233
1569, 116236
1575, 116233
1581, 116233
1587, 116236
1593, 116238
1599, 116245
1605, 116245
1611, 116229
1617, 116232
1623, 116229
1629, 116225
1635, 116219
1641, 116232
1647, 116233
1653, 116226
1659, 116219
1665, 116225
1671, 116229
1677, 116233
1683, 116233
1689, 116233
1695, 116236
1701, 116233
1707, 116219
1713, 116221
1719, 116236
1725, 116236
1731, 116233
1737, 116233
1743, 116229
1749, 116229
1755, 116233
1761, 116229
1767, 116225
1773, 116235
1779, 116236
1785, 116233
1791, 116229
1797, 116225
1803, 116225
1809, 116232
1815, 116233
1821, 116233
1827, 116233
1833, 116226
1839, 116209
1845, 116228
1851, 116238
1857, 116233
1863, 116226
1869, 116232
1875, 116233
1881, 116233
1887, 116226
1893, 116232
1899, 116233
1905, 116233
1911, 116233
1917, 116233
1923, 116236
1929, 116233
1935, 116219
1941, 116217
1947, 116222
1953, 116225
1959, 116229
1965, 116233
1971, 116226
1977, 116229
1983, 116219
1989, 116221
1995, 116219
2001, 116214
2007, 116229
2013, 116226
2019, 116225
2025, 116229
2031, 116229
2037, 116229
2043, 116222
2049, 116209
2055, 116217
2061, 116222
2067, 116222
2073, 116222
2079, 116232
2085, 116222
2091, 116219
2097, 116229
2103, 116226
2109, 116225
2115, 116219
2121, 116225
2127, 116225
2133, 116222
2139, 116222
2145, 116215
2151, 116207
2157, 116207
2163, 116214
2169, 116222
2175, 116229
2181, 116233
2187, 116219
2193, 116211
2199, 116215
2205, 116217
2211, 116219
2217, 116232
2223, 116233
2229, 116229
2235, 116222
2241, 116222
2247, 116215
2253, 116221
2259, 116229
2265, 116229
2271, 116219
2277, 116224
2283, 116226
2289, 116212
2295, 116204
2301, 116224
2307, 116233
2313, 116236
2319, 116229
2325, 116235
2331, 116229
2337, 116225
2343, 116232
2349, 116226
2355, 116225
2361, 116229
2367, 116233
2373, 116238
2379, 116236
2385, 116238
2391, 116236
2397, 116219
2403, 116217
2409, 116229
2415, 116229
2421, 116235
2427, 116233
