AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPUTempC,BaroTempC,PressurePa,RelAltM,Us
79,-68,2130,-167,20,-34,38.580,35.900,100629,-940.88,495
90,-70,2134,-171,21,-29,38.592,35.900,100629,-940.88,482
60,-86,2114,-167,17,-33,38.559,35.900,100629,-940.88,477
79,-74,2127,-172,16,-33,38.568,35.900,100629,-940.88,473
66,-81,2115,-170,16,-30,38.559,35.900,100626,-940.63,11177
104,-85,2107,-171,21,-30,38.598,35.900,100626,-940.63,517
79,-80,2129,-166,19,-33,38.562,35.900,100626,-940.63,484
71,-80,2140,-168,16,-32,38.583,35.900,100626,-940.63,477
72,-78,2140,-172,20,-32,38.589,35.900,100626,-940.63,473
92,-77,2142,-168,19,-34,38.568,35.900,100638,-941.65,11172
78,-71,2145,-167,19,-32,38.595,35.900,100638,-941.65,497
76,-68,2119,-167,13,-31,38.545,35.900,100638,-941.65,483
89,-71,2135,-167,21,-29,38.559,35.900,100638,-941.65,477
73,-70,2125,-167,18,-33,38.592,35.900,100638,-941.65,473
78,-72,2124,-176,25,-34,38.562,35.900,100629,-940.88,11176
82,-81,2136,-175,27,-31,38.580,35.900,100629,-940.88,501
70,-75,2128,-165,15,-30,38.606,35.900,100629,-940.88,484
66,-80,2131,-173,23,-33,38.592,35.900,100629,-940.88,477
61,-80,2121,-166,10,-30,38.589,35.900,100629,-940.88,473
74,-79,2151,-174,19,-28,38.580,35.900,100623,-940.37,11172
90,-92,2110,-168,12,-32,38.559,35.900,100623,-940.37,498
80,-60,2135,-172,23,-34,38.562,35.900,100623,-940.37,483
79,-87,2127,-168,17,-34,38.583,35.900,100623,-940.37,477
71,-70,2108,-168,17,-34,38.598,35.900,100623,-940.37,473
79,-87,2132,-168,20,-33,38.556,35.900,100632,-941.14,11176
92,-79,2132,-170,18,-34,38.556,35.900,100632,-941.14,502
65,-78,2116,-171,13,-33,38.571,35.900,100632,-941.14,484
93,-66,2120,-169,20,-32,38.568,35.900,100632,-941.14,477
67,-62,2149,-164,5,-33,38.598,35.900,100632,-941.14,473
92,-68,2112,-178,26,-31,38.533,35.900,100629,-940.88,11173
72,-63,2119,-169,16,-31,38.536,35.900,100629,-940.88,512
77,-71,2116,-173,19,-30,38.580,35.900,100629,-940.88,483
82,-87,2150,-169,15,-32,38.574,35.900,100629,-940.88,477
78,-78,2117,-169,18,-28,38.574,35.900,100629,-940.88,473
71,-75,2116,-166,15,-28,38.574,35.900,100635,-941.40,11177
61,-99,2141,-170,23,-30,38.568,35.900,100635,-941.40,516
72,-93,2114,-167,12,-30,38.583,35.900,100635,-941.40,484
71,-96,2136,-177,25,-32,38.571,35.900,100635,-941.40,477
76,-91,2155,-167,16,-29,38.592,35.900,100635,-941.40,473
73,-63,2145,-171,20,-32,38.568,35.900,100635,-941.40,11173
70,-77,2129,-168,17,-33,38.598,35.900,100635,-941.40,514
90,-68,2117,-165,10,-29,38.583,35.900,100635,-941.40,483
70,-86,2119,-167,19,-34,38.548,35.900,100635,-941.40,477
74,-81,2123,-165,11,-28,38.586,35.900,100635,-941.40,473
78,-91,2140,-176,27,-33,38.589,35.900,100632,-941.14,11176
91,-85,2115,-164,7,-33,38.577,35.900,100632,-941.14,502
70,-64,2132,-174,27,-31,38.559,35.900,100632,-941.14,484
90,-75,2140,-167,15,-32,38.589,35.900,100632,-941.14,477
79,-65,2126,-172,23,-34,38.615,35.900,100632,-941.14,473
