123.359,500.259552,1.969466,173.648849,0.810059,0.219482,-0.061523,0.139416,-0.233577,-0.083942
130.571,500.259552,11.984733,178.29007,0.727051,0.313721,-0.022705,0.136496,-0.242336,-0.065693
132.830,500.259552,22.641222,182.625961,0.660889,0.286865,0.03125,0.135036,-0.248175,-0.050365
137.167,500.259552,28.458015,177.877869,0.639893,0.125732,0.077148,0.129197,-0.254015,-0.037226
145.371,500.259552,33.648853,171.022903,0.587646,0.085693,0.165283,0.124088,-0.255474,-0.021898
149.270,500.259552,28.549618,167.175568,0.579346,0.170654,0.257568,0.118978,-0.259854,-0.010219
152.914,487.725189,24.0,167.221375,0.621094,0.240234,0.315918,0.113869,-0.262044,0.00073
163.725,445.969452,10.38168,169.938934,0.703125,0.268799,0.349609,0.110219,-0.264234,0.013139
165.696,419.664124,-3.129771,165.022903,0.718018,0.132324,0.429932,0.105839,-0.262044,0.025547
167.127,400.992371,-25.251909,162.091599,0.778809,0.155518,0.401855,0.10146,-0.262044,0.035036
172.135,378.198486,-40.564884,164.061066,0.763428,0.201904,0.403809,0.09927,-0.261314,0.043796
181.344,352.885498,-64.335876,165.221375,0.797363,0.163574,0.325684,0.094891,-0.258394,0.051825
182.696,327.587799,-76.122139,166.396942,0.857422,0.102295,0.249756,0.088321,-0.255474,0.056204
186.937,305.038177,-94.687019,165.92366,0.87915,0.012939,0.189941,0.085401,-0.257664,0.064964
197.438,288.748077,-107.557251,162.07634,0.91748,-0.092041,0.107422,0.082482,-0.252555,0.070803
198.798,274.671753,-122.412216,156.213745,0.95459,-0.149414,0.025391,0.081752,-0.254745,0.074453
202.958,261.190826,-132.534348,148.854965,0.970947,-0.217285,-0.062744,0.078102,-0.251095,0.081752
209.792,245.053436,-146.274811,139.664124,1.0,-0.25415,-0.157959,0.073723,-0.248905,0.085401
214.272,219.419846,-143.160309,130.091599,1.0625,-0.260986,-0.300781,0.072993,-0.245255,0.087591
217.176,176.427475,-140.519089,122.473282,1.030762,-0.229004,-0.30835,0.072263,-0.245255,0.091971
222.365,122.351143,-143.847336,114.030533,1.032959,-0.268799,-0.362061,0.070073,-0.240876,0.09708
229.055,65.190842,-142.931305,103.832062,1.02124,-0.290283,-0.406494,0.071533,-0.243066,0.09708
232.239,3.083969,-141.725189,93.480919,1.012451,-0.277344,-0.46582,0.070803,-0.241606,0.094891
237.083,-66.366409,-134.916031,84.885498,1.051758,-0.246826,-0.54834,0.068613,-0.244526,0.094161
245.118,-141.572525,-132.610687,74.503815,1.038818,-0.212158,-0.551025,0.070073,-0.244526,0.089781
249.608,-222.763351,-127.03817,64.656487,1.016113,-0.192871,-0.562256,0.068613,-0.248175,0.086131
252.986,-304.961823,-124.183205,54.412212,1.019043,-0.162109,-0.610596,0.066423,-0.251825,0.078832
259.570,-382.534363,-117.633591,45.572517,1.003662,-0.098145,-0.654785,0.066423,-0.253285,0.070073
263.603,-453.770996,-109.389313,36.900764,0.99707,-0.057373,-0.679932,0.067883,-0.255474,0.062044
267.285,-500.274811,-101.374046,29.343512,0.973389,-0.022705,-0.662109,0.069343,-0.260584,0.048175
272.445,-500.274811,-95.786263,22.351145,0.969971,-0.016846,-0.632568,0.065693,-0.264964,0.034307
280.622,-500.274811,-92.748093,13.938931,0.942871,-0.015625,-0.57959,0.068613,-0.264964,0.019708
284.087,-500.274811,-89.389313,2.977099,0.923828,-0.037598,-0.553223,0.068613,-0.266423,0.005839
288.855,-500.274811,-88.854965,-7.816794,0.905029,-0.017822,-0.500488,0.066423,-0.266423,-0.008759
296.178,-500.274811,-90.503815,-17.206106,0.903564,0.030762,-0.4375,0.066423,-0.265693,-0.026277
299.110,-500.274811,-93.267174,-26.152672,0.896973,0.062744,-0.411865,0.066423,-0.260584,-0.045255
303.773,-500.274811,-97.099236,-33.816795,0.888184,0.095703,-0.408691,0.065693,-0.257664,-0.058394
310.524,-500.274811,-100.152672,-42.106869,0.883545,0.096924,-0.395264,0.064964,-0.252555,-0.076642
314.559,-500.274811,-102.488548,-51.328243,0.886719,0.119873,-0.422607,0.065693,-0.243066,-0.093431
319.265,-500.274811,-100.473282,-62.687023,0.856934,0.141357,-0.443359,0.067883,-0.236496,-0.109489
326.907,-500.274811,-96.106873,-73.893127,0.846191,0.177246,-0.474854,0.067883,-0.222628,-0.128467
331.960,-500.274811,-87.938934,-85.648857,0.859131,0.197266,-0.505615,0.067153,-0.209489,-0.143066
336.219,-500.274811,-76.885498,-97.267174,0.833252,0.218994,-0.51001,0.067883,-0.190511,-0.163504
339.432,-500.274811,-64.045799,-109.068703,0.78418,0.249756,-0.480469,0.068613,-0.172993,-0.181022
346.656,-500.274811,-48.839695,-120.015266,0.744629,0.260254,-0.450684,0.070073,-0.153285,-0.194891
348.280,-500.274811,-30.458015,-128.366409,0.766846,0.321045,-0.470947,0.070803,-0.129197,-0.210219
353.231,-500.274811,-13.053435,-132.061066,0.702637,0.408203,-0.365967,0.068613,-0.10292,-0.221168
359.869,-500.274811,4.931298,-128.427475,0.759277,0.538574,-0.386963,0.070073,-0.075912,-0.233577
363.972,-500.274811,16.87023,-122.167938,0.664551,0.591553,-0.248535,0.074453,-0.049635,-0.240876
367.345,-500.274811,38.122139,-115.480919,0.760742,0.561279,-0.278076,0.075182,-0.018978,-0.245985
372.705,-500.274811,47.496181,-113.389313,0.713379,0.473389,-0.126709,0.074453,0.013139,-0.252555
379.230,-500.274811,59.587788,-116.503815,0.760254,0.370361,-0.071533,0.076642,0.044526,-0.256934
383.458,-500.274811,63.633587,-121.709923,0.715332,0.281982,0.022217,0.079562,0.076642,-0.255474
387.326,-500.274811,81.190842,-130.961838,0.732178,0.184082,0.04541,0.081752,0.107299,-0.251825
395.679,-500.274811,98.335876,-141.267181,0.723633,0.103516,0.069336,0.081752,0.140876,-0.247445
397.379,-500.274811,110.137405,-152.7939,0.737305,0.06543,0.080322,0.083942,0.167883,-0.237956
402.142,-500.274811,131.954193,-160.473282,0.677246,0.080322,0.16333,0.086861,0.191971,-0.233577
410.288,-500.274811,148.412216,-163.770996,0.670898,0.108154,0.215576,0.086861,0.216788,-0.221898
415.335,-500.274811,164.442749,-161.893127,0.620605,0.190186,0.341797,0.086861,0.235036,-0.210949
417.319,-500.274811,174.396942,-158.106873,0.661133,0.334473,0.42334,0.091241,0.254015,-0.20073
422.495,-451.404572,170.778625,-148.335876,0.618164,0.530518,0.604248,0.091241,0.264234,-0.194161
429.948,-363.129761,166.870224,-132.870224,0.643066,0.753662,0.67627,0.093431,0.278832,-0.183212
432.402,-313.557251,150.977097,-112.534348,0.673096,0.955078,0.753174,0.094161,0.287591,-0.175182
437.390,-301.938934,144.854965,-89.969467,0.714844,1.102783,0.879883,0.092701,0.292701,-0.170803
446.445,-318.122131,135.389313,-70.748093,0.825439,1.14917,0.769775,0.093431,0.30073,-0.161314
448.063,-300.778625,125.297707,-26.854961,0.477783,1.32373,0.891602,0.094161,0.305839,-0.155474
452.745,-246.839691,106.96183,-12.977099,0.647705,0.808594,0.891113,0.09562,0.313139,-0.149635
460.200,-215.70993,103.251907,-15.083969,0.908447,0.650879,0.677979,0.09562,0.315328,-0.144526
463.935,-216.320618,88.030533,-17.67939,0.641357,0.60376,0.838623,0.09781,0.322628,-0.140146
467.282,-212.167938,82.183205,-14.977099,0.698486,0.657471,0.678467,0.09708,0.325547,-0.133577
472.339,-189.419846,78.916031,-4.992366,0.630371,0.740967,0.676758,0.09781,0.329927,-0.130657
479.791,-158.519089,80.778625,3.740458,0.759521,0.724121,0.622803,0.1,0.332117,-0.125547
482.291,-143.587784,95.480919,0.458015,0.688965,0.583252,0.592529,0.1,0.334307,-0.121168
487.756,-153.984726,79.404579,3.435115,0.642334,0.663574,0.625977,0.10073,0.335766,-0.118978
497.815,-162.07634,102.625954,9.358779,0.783691,0.745361,0.468994,0.10438,0.337956,-0.113139
499.741,-172.198471,107.328247,16.0,0.657471,0.728027,0.557129,0.105839,0.344526,-0.110219
503.441,-164.71756,134.839691,30.076336,0.638428,0.7854,0.55957,0.105839,0.344526,-0.106569
514.255,-146.885498,133.450378,49.832062,0.605713,0.850098,0.630859,0.108029,0.346715,-0.10146
516.215,-131.954193,147.877869,70.977097,0.649658,0.892334,0.637695,0.108029,0.350365,-0.09781
518.234,-127.267174,157.664124,88.137405,0.607666,0.787842,0.707275,0.112409,0.352555,-0.093431
523.839,-129.068695,167.312973,99.404579,0.614258,0.658691,0.731689,0.116788,0.352555,-0.091241
532.230,-134.946564,175.404587,104.824425,0.604492,0.577393,0.807373,0.119708,0.351825,-0.085401
535.105,-138.167938,190.0,110.122139,0.627686,0.520752,0.87207,0.123358,0.357664,-0.081022
538.591,-136.885498,188.244278,114.167938,0.511719,0.500977,1.039551,0.127737,0.356934,-0.078102
549.464,-136.687027,185.679382,117.099236,0.51001,0.437744,1.157715,0.132117,0.359124,-0.074453
553.099,-141.129776,169.847336,116.793892,0.521973,0.374512,1.286621,0.133577,0.359124,-0.070803
556.223,-145.450378,154.885498,113.480919,0.474609,0.327393,1.396484,0.141606,0.359124,-0.069343
560.305,-152.519089,126.213737,112.916031,0.458252,0.360596,1.505615,0.144526,0.361314,-0.062774
564.655,-158.931305,100.427483,115.465652,0.433105,0.428467,1.566406,0.151095,0.359854,-0.062774
567.416,-168.885498,67.236641,120.152672,0.474854,0.455811,1.572754,0.151825,0.359124,-0.058394
572.804,-183.038162,34.65649,122.839691,0.421631,0.443848,1.591553,0.151825,0.359854,-0.056934
581.399,-201.419846,0.977099,125.465652,0.465088,0.445557,1.487061,0.159124,0.360584,-0.053285
584.776,-213.068695,-23.557251,127.740456,0.437988,0.393555,1.430664,0.164963,0.356204,-0.052555
590.103,-218.549622,-53.954197,132.015274,0.416748,0.356689,1.288574,0.164963,0.356934,-0.050365
599.240,-211.465652,-67.893127,134.870224,0.44458,0.276611,1.171875,0.166423,0.356204,-0.048905
602.237,-200.061066,-91.145035,136.229004,0.398193,0.262695,1.056152,0.174453,0.353285,-0.048905
605.125,-195.419846,-97.633591,140.580154,0.438721,0.309082,0.870605,0.176642,0.350365,-0.047445
610.146,-199.954193,-102.656487,148.045807,0.382812,0.341797,0.748047,0.181022,0.350365,-0.048175
615.376,-199.022903,-102.259544,154.29007,0.41748,0.292236,0.620605,0.185401,0.348905,-0.047445
617.926,-188.687027,-94.977097,158.106873,0.484619,0.219727,0.500732,0.188321,0.346715,-0.048905
625.417,-176.045807,-89.877861,162.351151,0.417969,0.213867,0.498535,0.193431,0.343066,-0.048175
633.180,-165.908401,-75.755722,164.381683,0.485107,0.181641,0.38916,0.19927,0.343796,-0.048175
637.038,-168.137405,-64.183205,168.396942,0.459961,0.211182,0.368652,0.20073,0.342336,-0.048175
640.668,-175.557251,-57.236641,173.618317,0.416504,0.184326,0.377441,0.205839,0.338686,-0.048905
648.509,-177.984726,-38.625954,177.694656,0.458252,0.089111,0.323975,0.211679,0.335036,-0.046715
650.908,-174.824432,-28.625954,180.916031,0.420898,0.039795,0.343994,0.215328,0.335036,-0.047445
652.329,-168.213745,-14.106871,184.549622,0.430176,-0.008301,0.357422,0.218248,0.335036,-0.045255
661.100,-162.71756,-7.648855,187.770996,0.347412,-0.05542,0.416992,0.221898,0.329927,-0.045255
664.894,-163.679382,2.442748,191.618317,0.420898,-0.087891,0.37793,0.227007,0.327737,-0.042336
668.429,-165.832062,5.145038,196.122131,0.332031,-0.138428,0.472656,0.232847,0.326277,-0.040146
